iter	Logloss
0	0.6696651064
1	0.6479348575
2	0.6289009264
3	0.6084303788
4	0.5886018765
5	0.5688848592
6	0.5520982723
7	0.5350149901
8	0.5183557971
9	0.5031834229
10	0.4883426566
11	0.4766509576
12	0.4643497428
13	0.4527373091
14	0.442003107
15	0.4323801037
16	0.4217045225
17	0.4128854376
18	0.4043906871
19	0.3949764476
20	0.3886278628
21	0.3816607555
22	0.3748926623
23	0.3689837968
24	0.3628059062
25	0.3565444792
26	0.3507912038
27	0.3445606348
28	0.338108086
29	0.3319271622
30	0.326916832
31	0.3222484782
32	0.3174582089
33	0.3133604967
34	0.3081249059
35	0.3031482503
36	0.2982244588
37	0.2941532715
38	0.2903603946
39	0.2859303008
40	0.2813678919
41	0.2776318409
42	0.2744980013
43	0.2712050123
44	0.2681023712
45	0.2641759412
46	0.2605632914
47	0.2570319959
48	0.253983751
49	0.2511526112
50	0.2484845206
51	0.2453218348
52	0.2426764467
53	0.2396850276
54	0.2365037713
55	0.2341261548
56	0.2313616987
57	0.2286011733
58	0.2258713976
59	0.2236360623
60	0.2217883406
61	0.219345294
62	0.2166448442
63	0.2147850981
64	0.2128402834
65	0.2111080394
66	0.2094894471
67	0.207854977
68	0.2059462665
69	0.2037955665
70	0.2021121012
71	0.200415296
72	0.1988433931
73	0.1973461902
74	0.1955527718
75	0.1940440397
76	0.1923115635
77	0.1910228458
78	0.1891568786
79	0.18767772
80	0.186101484
81	0.1844734362
82	0.1832798306
83	0.1820011874
84	0.180559139
85	0.1790739605
86	0.1772576075
87	0.1757585011
88	0.1740014345
89	0.1726423964
90	0.1714858235
91	0.1698165955
92	0.1680934821
93	0.1666845975
94	0.1653315484
95	0.1642574287
96	0.1633790115
97	0.1621344916
98	0.1608685228
99	0.1596248542
100	0.1585739786
101	0.157611963
102	0.1565683454
103	0.1555626736
104	0.1543018271
105	0.1533734242
106	0.152256159
107	0.1513953838
108	0.1501975533
109	0.149074392
110	0.1476940441
111	0.1466449482
112	0.1456693452
113	0.1445335404
114	0.1436228723
115	0.1425711765
116	0.1417229055
117	0.1406227406
118	0.1395953258
119	0.1387416074
120	0.1377721326
121	0.1369500151
122	0.1362285188
123	0.1353509063
124	0.134688093
125	0.1338060855
126	0.1329823894
127	0.1323185238
128	0.1312336332
129	0.130514613
130	0.1298162836
131	0.1290631091
132	0.1283309039
133	0.1274506451
134	0.1265895913
135	0.1256526305
136	0.1249911326
137	0.1242809721
138	0.1235146281
139	0.1226484442
140	0.1221353403
141	0.121409836
142	0.1206004779
143	0.1200181988
144	0.1193415427
145	0.1186549668
146	0.1176601511
147	0.1167886204
148	0.11610979
149	0.115470569
150	0.1146975241
151	0.1141083661
152	0.1133363271
153	0.1128430163
154	0.1120366992
155	0.111353822
156	0.1106777075
157	0.1099524662
158	0.1093310343
159	0.1087638515
160	0.1083123321
161	0.107665915
162	0.1071388291
163	0.1066410305
164	0.1059810027
165	0.1052583768
166	0.104742263
167	0.104400658
168	0.1038078401
169	0.1032654257
170	0.1028016499
171	0.1021777805
172	0.1015593275
173	0.1008964833
174	0.1000781495
175	0.09946997219
176	0.09882321464
177	0.09810842704
178	0.09762652167
179	0.09704770133
180	0.09659938541
181	0.09611658247
182	0.09562468771
183	0.09502759086
184	0.09457645068
185	0.09415988264
186	0.09359320279
187	0.09315552624
188	0.09272744448
189	0.09228793409
190	0.09189382866
191	0.09138409845
192	0.09109192978
193	0.09058921768
194	0.09001722974
195	0.08950869887
196	0.08908183193
197	0.0885980076
198	0.08815142494
199	0.08780574218
200	0.08743090368
201	0.0870878827
202	0.08663563603
203	0.08630983921
204	0.08587371021
205	0.08532330279
206	0.08478622746
207	0.08436114019
208	0.08398832124
209	0.08351505117
210	0.083197673
211	0.082767533
212	0.08239637766
213	0.08196659359
214	0.08158315848
215	0.0811156298
216	0.08070033075
217	0.0803893362
218	0.0800519715
219	0.07963555822
220	0.07934270089
221	0.0788217974
222	0.07841649549
223	0.07810511405
224	0.07779942758
225	0.0774020491
226	0.07700441527
227	0.07657220929
228	0.07606092379
229	0.07568093197
230	0.07535980875
231	0.07506165882
232	0.07474641626
233	0.07429104354
234	0.0739763581
235	0.0736707877
236	0.07333507886
237	0.07299509106
238	0.07256691644
239	0.07223202781
240	0.07179729934
241	0.07147944143
242	0.0710883305
243	0.07059161513
244	0.07029146887
245	0.07002419245
246	0.06963671825
247	0.06935724719
248	0.06911253397
249	0.06882838932
250	0.06842534682
251	0.06813262878
252	0.06760339176
253	0.06721748058
254	0.06675774379
255	0.06637610383
256	0.06600729302
257	0.06587341494
258	0.06547541744
259	0.06523502961
260	0.06495245572
261	0.06463589388
262	0.06432504635
263	0.06403731913
264	0.06376642533
265	0.0634278458
266	0.06306758904
267	0.06282100329
268	0.06246481658
269	0.06213577766
270	0.06194541034
271	0.06172548878
272	0.06132479468
273	0.06093380369
274	0.06062310704
275	0.06047022899
276	0.0600796597
277	0.05982068199
278	0.059486807
279	0.0592302628
280	0.05904270814
281	0.05879560784
282	0.05859638083
283	0.05826304747
284	0.05793824883
285	0.05766833772
286	0.05746209259
287	0.05724982364
288	0.0569699889
289	0.05671814151
290	0.05645530654
291	0.05617032622
292	0.05590866352
293	0.05568748072
294	0.0554388793
295	0.05519240962
296	0.05494652027
297	0.05473865408
298	0.05445608019
299	0.05414321311
300	0.05392012683
301	0.05374148603
302	0.05352947243
303	0.05326884272
304	0.05302204805
305	0.05283284139
306	0.05257543444
307	0.05234869595
308	0.0521686817
309	0.05187482234
310	0.05164792136
311	0.05140429917
312	0.05119543482
313	0.05090620261
314	0.05060216815
315	0.05035871618
316	0.05015935376
317	0.04996861889
318	0.04978919658
319	0.04957821983
320	0.04932346305
321	0.04909999762
322	0.04890561829
323	0.04867471691
324	0.04855166391
325	0.04834817728
326	0.04814920174
327	0.04791513563
328	0.04770817863
329	0.04752277506
330	0.04734312835
331	0.04710515469
332	0.04685357038
333	0.04659077797
334	0.0463696416
335	0.04618595193
336	0.0459754085
337	0.04575703062
338	0.04552793986
339	0.04528371412
340	0.0450461583
